Order_ID,Branch_Start,Branch_Drop,Pengirim,Penerima,Alamat Penerima,Weather_Condition,Vehicle_Type,Category,arrival_status,Start_Latitude,Start_Longitude,Drop_Latitude,Drop_Longitude,Quantity,Weight,Vehicle_Type_Assigned
ialx566343618,Kebon Kawung,Depok,Michael Hubbard,Alexis Torres,"Buah Batu No.149, RT 9/RW 6",Sunny,pick up truck,Clothing,Terlambat,-6.9123708,107.6016929,-6.40719,106.8158371,5.0,9.5,van
rjto796129700,Dago,Bekasi,Natalie Malone,Jasmine Jimenez,"Setiabudi No.854, RT 9/RW 6",Sunny,pick up truck,Cosmetics,Terlambat,-6.8750079,107.6159521,-6.2349858,106.9945444,7.0,4.9,pick up truck
czjt755903822,Dago,Gresik,Claudia Wells,Kevin Thompson,"Buah Batu No.148, RT 9/RW 8",Sunny,cargo truck,Clothing,Lebih Cepat Sampai,-6.8750079,107.6159521,-5.7933465,112.6598223,2.0,3.4,pick up truck
wzoc344425774,Kebon Kawung,Solok,April Murray,Kevin Clarke,"Ciwidey No.733, RT 3/RW 1",Sunny,cargo truck,Shoes,Lebih Cepat Sampai,-6.9123708,107.6016929,-0.93103,100.804328,5.0,10.0,van
carl449634661,Ciwidey,Samarinda,Ashley Juarez,Kelly Harrell,"Jalan Braga No.255, RT 10/RW 9",Sunny,pick up truck,Snacks,Terlambat,-7.1027234,107.4641673,-0.5017804,117.1393089,8.0,1.6,pick up truck
bull762076829,Riau,Tanjung Pinang,Emily Roman,Ryan Williams,"Ciwidey No.515, RT 5/RW 4",Sunny,cargo truck,Books,Tepat Waktu,-6.9064586,107.6147399,0.9236915,104.446094,5.0,3.0,pick up truck
tsec016509855,Dago,Tanjung Pinang,Kimberly Miles,Brooke Lambert,"Cihampelas No.266, RT 6/RW 8",Sunny,cargo truck,Sports,Terlambat,-6.8750079,107.6159521,0.9236915,104.446094,9.0,9.9,van
sdod930462581,Pasir Kaliki,Bogor,Alexander Faulkner,David Middleton,"Cihampelas No.59, RT 4/RW 4",Sunny,van,Home,Terlambat,-6.9162852,107.5981344,-6.5962986,106.7972421,1.0,5.1,van
hkit681446136,Jalan Braga,Palu,Pamela Jackson,Marissa Donovan,"Riau No.352, RT 9/RW 6",Sunny,pick up truck,Shoes,Terlambat,-6.9168925,107.6091723,-0.9051548,119.8722373,5.0,5.5,van
buux572471968,Pasir Kaliki,Solo,Scott Phillips,Yolanda Moore,"Jalan Braga No.833, RT 4/RW 8",Sunny,cargo truck,Shoes,Tepat Waktu,-6.9162852,107.5981344,-7.5692489,110.828448,6.0,13.8,cargo truck
iimu721647260,Lembong,Bandung,Shelby Jones,Brian Lozano,"Setiabudi No.373, RT 1/RW 10",Sunny,cargo truck,Toys,Terlambat,-6.9165602,107.610072,-6.9218457,107.6070833,5.0,6.0,van
opvd660426426,Cihampelas,Gresik,Francis Garcia,Nicholas Ward,"Kebon Kawung No.398, RT 6/RW 7",Sunny,pick up truck,Cosmetics,Terlambat,-6.8989124,107.6043304,-5.7933465,112.6598223,5.0,2.0,pick up truck
ecar963502319,Buah Batu,Banda Aceh,Ashley Ruiz,Alexis Henson,"Jalan Braga No.374, RT 5/RW 3",Sunny,pick up truck,Electronics,Tepat Waktu,-6.9412463,107.6271905,5.5528455,95.3192908,1.0,5.6,van
ohfh963147472,Kebon Kawung,Banjarmasin,Daniel Pacheco,Charlene Hunt,"Pasir Kaliki No.537, RT 2/RW 9",Sunny,pick up truck,Sports,Lebih Cepat Sampai,-6.9123708,107.6016929,-3.3187496,114.5925828,8.0,14.4,cargo truck
fyao616279169,Dago,Sidoarjo,Robin Harris,Mr. Nathan Bailey,"Riau No.46, RT 5/RW 9",Sunny,pick up truck,Shoes,Lebih Cepat Sampai,-6.8750079,107.6159521,-7.4559741,112.6608877,4.0,11.2,cargo truck
qpqb113436782,Dago,Batam,Ashley Smith,Robert Taylor,"Jalan Braga No.246, RT 1/RW 2",Sunny,pick up truck,Toys,Terlambat,-6.8750079,107.6159521,1.1030815,104.0383696,1.0,2.2,pick up truck
ppri902151840,Cihampelas,Pontianak,Mark Montgomery,Dawn Hampton,"Jalan Braga No.33, RT 3/RW 2",Sunny,cargo truck,Clothing,Tepat Waktu,-6.8989124,107.6043304,-0.0226903,109.3447488,5.0,5.5,van
kdbu035077095,Buah Batu,Malang,Mark Ramsey,William Robinson,"Dago No.861, RT 7/RW 4",Sunny,cargo truck,Books,Lebih Cepat Sampai,-6.9412463,107.6271905,-7.9771308,112.6340265,6.0,1.2,pick up truck
fmhd254099683,Jalan Braga,Palu,Jonathan Roth,Robert Cook,"Riau No.408, RT 9/RW 6",Sunny,pick up truck,Toys,Terlambat,-6.9168925,107.6091723,-0.9051548,119.8722373,5.0,8.5,van
vpun175942482,Dago,Padang,Robert Harvey,Rebecca Benson,"Riau No.453, RT 8/RW 7",Sunny,pick up truck,Sports,Terlambat,-6.8750079,107.6159521,-0.9247587,100.3632561,1.0,2.3,pick up truck
dahw022547497,Setiabudi,Tanjung Pinang,Kevin Barnes,Carla Dean,"Buah Batu No.535, RT 10/RW 8",Sunny,pick up truck,Electronics,Tepat Waktu,-6.8689938,107.5934024,0.9236915,104.446094,2.0,13.2,cargo truck
aeuj226729421,Dago,South Tangerang,Mike Wall,Lauren Smith,"Dago No.838, RT 5/RW 8",Sunny,pick up truck,Shoes,Lebih Cepat Sampai,-6.8750079,107.6159521,-6.3227016,106.7085737,3.0,5.7,van
qnwk753395424,Jalan Braga,Semarang,Christian Evans,Timothy Nichols,"Cihampelas No.347, RT 7/RW 7",Sunny,pick up truck,Toys,Terlambat,-6.9168925,107.6091723,-6.9903988,110.4229104,7.0,11.9,cargo truck
asgd164341326,Buah Batu,Semarang,Sarah Patterson,Brittney Cruz,"Buah Batu No.617, RT 1/RW 9",Sunny,pick up truck,Electronics,Terlambat,-6.9412463,107.6271905,-6.9903988,110.4229104,2.0,12.6,cargo truck
dmrl564554163,Kebon Kawung,Cilegon,Tina Robles,Isaac Hamilton,"Riau No.753, RT 9/RW 3",Sunny,pick up truck,Clothing,Terlambat,-6.9123708,107.6016929,-6.017389,106.0537688,2.0,3.2,pick up truck
ljep947754095,Ciwidey,Solok,Jennifer Lopez,Katherine Snyder,"Riau No.866, RT 6/RW 5",Sunny,pick up truck,Shoes,Tepat Waktu,-7.1027234,107.4641673,-0.93103,100.804328,5.0,12.5,cargo truck
wypw496102732,Setiabudi,Banda Aceh,David Burns,Hannah Clark,"Cihampelas No.952, RT 5/RW 9",Sunny,van,Sports,Tepat Waktu,-6.8689938,107.5934024,5.5528455,95.3192908,8.0,11.2,cargo truck
erap841821582,Pasir Kaliki,Depok,Jamie Burgess,Mary Scott,"Jalan Braga No.884, RT 1/RW 7",Sunny,pick up truck,Grocery,Lebih Cepat Sampai,-6.9162852,107.5981344,-6.40719,106.8158371,9.0,8.1,van
hoxq128553542,Dago,Sorong,Patricia Strickland,Heather Nelson,"Cihampelas No.904, RT 1/RW 5",Sunny,cargo truck,Grocery,Lebih Cepat Sampai,-6.8750079,107.6159521,-0.8634105,131.2544805,10.0,9.0,van
iqem237229463,Pasir Kaliki,Samarinda,Michele Smith,Jessica Gibson,"Kebon Kawung No.669, RT 9/RW 1",Sunny,pick up truck,Cosmetics,Tepat Waktu,-6.9162852,107.5981344,-0.5017804,117.1393089,7.0,4.9,pick up truck
glsd963477325,Cihampelas,Medan,William Willis,Derek Palmer,"Cihampelas No.473, RT 7/RW 8",Sunny,pick up truck,Clothing,Lebih Cepat Sampai,-6.8989124,107.6043304,3.5894617,98.6741623,6.0,6.6,van
zhhx122382345,Pasir Kaliki,Jayapura,Mary Nguyen,Tamara Carter,"Cihampelas No.800, RT 2/RW 4",Sunny,pick up truck,Toys,Tepat Waktu,-6.9162852,107.5981344,-2.5387539,140.7037389,1.0,2.1,pick up truck
pkqs694908430,Cihampelas,Pagar Alam,Susan Meyer,Douglas Rodriguez,"Ciwidey No.543, RT 3/RW 4",Sunny,pick up truck,Electronics,Lebih Cepat Sampai,-6.8989124,107.6043304,-4.0209526,103.2501603,1.0,8.1,van
