Order_ID;Branch_Start;Branch_Drop;Pengirim;Penerima;Alamat Penerima;Weather_Condition;Vehicle_Type;Category;arrival_status;Start_Latitude;Start_Longitude;Quantity;Weight;Vehicle_Type_Assigned;picked;Batch_Number;Vehicle_Assigned
orag939999614;Dago;Bukittinggi;Margaret Rodriguez;Amy Schultz;Setiabudi No.673, RT 1/RW 1;Sunny;pick up truck;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;5.0;1.0;pick up truck;True;1;cargo truck
jbvx111233721;Dago;Bekasi;Jeffrey Hall;Lawrence Schroeder;Kebon Kawung No.996, RT 3/RW 10;Sunny;cargo truck;Books;Terlambat;-6.8750079;107.6159521;5.0;1.0;pick up truck;True;1;cargo truck
giyh373141090;Dago;Samarinda;Ronald Murray;Marissa Miller;Kebon Kawung No.919, RT 10/RW 8;Sunny;pick up truck;Books;Tepat Waktu;-6.8750079;107.6159521;5.0;1.0;pick up truck;True;1;cargo truck
gssy057844321;Dago;Payakumbuh;Brittany Franklin;Kimberly Rodgers;Pasir Kaliki No.205, RT 6/RW 10;Sunny;cargo truck;Shoes;Tepat Waktu;-6.8750079;107.6159521;1.0;1.1;pick up truck;True;1;cargo truck
nmld806197393;Dago;Salatiga;Jeffrey Duncan;Christina Smith;Kebon Kawung No.280, RT 3/RW 10;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;6.0;1.2;pick up truck;True;1;cargo truck
xubu024802680;Dago;Sawahlunto;Andrea Jensen;Karen Chung;Lembong No.397, RT 1/RW 6;Sunny;cargo truck;Snacks;Tepat Waktu;-6.8750079;107.6159521;6.0;1.2;pick up truck;True;1;cargo truck
lolo463650051;Dago;Batam;Bradley Fisher;Mr. Reginald Johnson;Dago No.738, RT 7/RW 4;Sunny;cargo truck;Clothing;Terlambat;-6.8750079;107.6159521;1.0;1.2;pick up truck;True;1;cargo truck
blpn691122119;Dago;Tebing Tinggi;James Boyd;Michelle Holland;Setiabudi No.68, RT 10/RW 7;Sunny;pick up truck;Clothing;Tepat Waktu;-6.8750079;107.6159521;1.0;1.2;pick up truck;True;1;cargo truck
ouhw640497559;Dago;Cilegon;Michele Keller;Amy Cox;Buah Batu No.493, RT 2/RW 5;Sunny;cargo truck;Sports;Terlambat;-6.8750079;107.6159521;1.0;1.3;pick up truck;True;1;cargo truck
uwlz117951836;Dago;Bogor;Frank Baker;Justin Munoz;Cihampelas No.234, RT 9/RW 8;Sunny;pick up truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.4;pick up truck;True;1;cargo truck
yhuq926403926;Dago;Bukittinggi;Kimberly Buchanan;Anthony Gregory;Cihampelas No.768, RT 5/RW 5;Sunny;cargo truck;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;7.0;1.4;pick up truck;True;1;cargo truck
kvpn036554531;Dago;Sungaipenuh;Timothy Harrison;Emily Friedman;Riau No.184, RT 4/RW 5;Sunny;pick up truck;Snacks;Tepat Waktu;-6.8750079;107.6159521;7.0;1.4;pick up truck;True;1;cargo truck
sbes182235348;Dago;Malang;Kathleen Crawford;Susan Medina;Cihampelas No.782, RT 5/RW 2;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;-6.8750079;107.6159521;7.0;1.4;pick up truck;True;1;cargo truck
qpqb113436782;Dago;Batam;Ashley Smith;Robert Taylor;Jalan Braga No.246, RT 1/RW 2;Sunny;pick up truck;Toys;Terlambat;-6.8750079;107.6159521;1.0;1.4;pick up truck;True;1;cargo truck
gmig388280036;Dago;Solok;Christopher Maddox;Sheena Thompson;Ciwidey No.564, RT 2/RW 8;Sunny;pick up truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;7.0;1.4;pick up truck;True;1;cargo truck
gqje202539223;Dago;Bukittinggi;Jennifer White;Larry Conley;Kebon Kawung No.882, RT 6/RW 5;Sunny;pick up truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.4;pick up truck;True;1;cargo truck
gtvm405075408;Dago;Binjai;Dr. Ryan Lee IV;Melanie Johnston;Riau No.844, RT 10/RW 10;Sunny;cargo truck;Shoes;Tepat Waktu;-6.8750079;107.6159521;1.0;1.5;pick up truck;True;1;cargo truck
moyx288958555;Dago;Cilegon;Garrett Richardson;Stephanie Chavez;Kebon Kawung No.913, RT 9/RW 8;Sunny;cargo truck;Books;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
ihws671195762;Dago;Surabaya;Cynthia Nelson;Anthony Martin;Setiabudi No.286, RT 8/RW 9;Sunny;pick up truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
